hostname,input_index,final_class,reason,recursive_summary,zone,authoritative_ns,authoritative_summary,elapsed_ms,timestamp_utc
mayakonline.ru,326,04_UNCERTAIN_RECHECK,INSUFFICIENT_AUTHORITATIVE_NXDOMAIN_0_OF_2,cloudflare=SERVFAIL;google=SERVFAIL;quad9=SERVFAIL;opendns=SERVFAIL,ru,a.dns.ripn.net;b.dns.ripn.net;c.tld-servers.ru;d.dns.ripn.net;e.dns.ripn.net;f.dns.ripn.net,a.dns.ripn.net@193.232.128.6=NOERROR/AA=0;b.dns.ripn.net@194.85.252.62=NOERROR/AA=0;c.tld-servers.ru@194.190.122.17=NOERROR/AA=0;d.dns.ripn.net@194.190.124.17=NOERROR/AA=0;e.dns.ripn.net@193.232.142.17=NOERROR/AA=0;f.dns.ripn.net@193.232.156.17=NOERROR/AA=0,8001,2026-08-27T14:32:14Z
mayalazarenskaya.ru,327,04_UNCERTAIN_RECHECK,INSUFFICIENT_AUTHORITATIVE_NXDOMAIN_0_OF_2,cloudflare=SERVFAIL;google=SERVFAIL;quad9=SERVFAIL;opendns=SERVFAIL,ru,a.dns.ripn.net;b.dns.ripn.net;c.tld-servers.ru;d.dns.ripn.net;e.dns.ripn.net;f.dns.ripn.net,a.dns.ripn.net@193.232.128.6=NOERROR/AA=0;b.dns.ripn.net@194.85.252.62=NOERROR/AA=0;c.tld-servers.ru@194.190.122.17=NOERROR/AA=0;d.dns.ripn.net@194.190.124.17=NOERROR/AA=0;e.dns.ripn.net@193.232.142.17=NOERROR/AA=0;f.dns.ripn.net@193.232.156.17=NOERROR/AA=0,2589,2026-08-27T14:32:10Z
mbdou126.ru,328,04_UNCERTAIN_RECHECK,INSUFFICIENT_AUTHORITATIVE_NXDOMAIN_0_OF_2,cloudflare=SERVFAIL;google=SERVFAIL;quad9=SERVFAIL;opendns=SERVFAIL,ru,a.dns.ripn.net;b.dns.ripn.net;c.tld-servers.ru;d.dns.ripn.net;e.dns.ripn.net;f.dns.ripn.net,a.dns.ripn.net@193.232.128.6=NOERROR/AA=0;b.dns.ripn.net@194.85.252.62=NOERROR/AA=0;c.tld-servers.ru@194.190.122.17=NOERROR/AA=0;d.dns.ripn.net@194.190.124.17=NOERROR/AA=0;e.dns.ripn.net@193.232.142.17=NOERROR/AA=0;f.dns.ripn.net@193.232.156.17=NOERROR/AA=0,2661,2026-08-27T14:32:11Z
mbhomes.ru,329,04_UNCERTAIN_RECHECK,INSUFFICIENT_AUTHORITATIVE_NXDOMAIN_0_OF_2,cloudflare=SERVFAIL;google=SERVFAIL;quad9=SERVFAIL;opendns=SERVFAIL,ru,a.dns.ripn.net;b.dns.ripn.net;c.tld-servers.ru;d.dns.ripn.net;e.dns.ripn.net;f.dns.ripn.net,a.dns.ripn.net@193.232.128.6=NOERROR/AA=0;b.dns.ripn.net@194.85.252.62=NOERROR/AA=0;c.tld-servers.ru@194.190.122.17=NOERROR/AA=0;d.dns.ripn.net@194.190.124.17=NOERROR/AA=0;e.dns.ripn.net@193.232.142.17=NOERROR/AA=0;f.dns.ripn.net@193.232.156.17=NOERROR/AA=0,4344,2026-08-27T14:32:14Z
mcuzakamna.ru,330,02_DNS_ALIVE_RESCUED,RECURSIVE_NOERROR_CONSENSUS,cloudflare=NOERROR;google=NOERROR;quad9=NOERROR;opendns=NOERROR,,,,204,2026-08-27T14:32:11Z
med-199.ru,331,04_UNCERTAIN_RECHECK,INSUFFICIENT_AUTHORITATIVE_NXDOMAIN_0_OF_2,cloudflare=SERVFAIL;google=SERVFAIL;quad9=ERROR;opendns=SERVFAIL,ru,a.dns.ripn.net;b.dns.ripn.net;c.tld-servers.ru;d.dns.ripn.net;e.dns.ripn.net;f.dns.ripn.net,a.dns.ripn.net@193.232.128.6=NOERROR/AA=0;b.dns.ripn.net@194.85.252.62=NOERROR/AA=0;c.tld-servers.ru@194.190.122.17=NOERROR/AA=0;d.dns.ripn.net@194.190.124.17=NOERROR/AA=0;e.dns.ripn.net@193.232.142.17=NOERROR/AA=0;f.dns.ripn.net@193.232.156.17=NOERROR/AA=0,7949,2026-08-27T14:32:19Z
medcek-sokolniki.ru,332,04_UNCERTAIN_RECHECK,INSUFFICIENT_AUTHORITATIVE_NXDOMAIN_0_OF_2,cloudflare=SERVFAIL;google=SERVFAIL;quad9=SERVFAIL;opendns=SERVFAIL,ru,a.dns.ripn.net;b.dns.ripn.net;c.tld-servers.ru;d.dns.ripn.net;e.dns.ripn.net;f.dns.ripn.net,a.dns.ripn.net@193.232.128.6=NOERROR/AA=0;b.dns.ripn.net@194.85.252.62=NOERROR/AA=0;c.tld-servers.ru@194.190.122.17=NOERROR/AA=0;d.dns.ripn.net@194.190.124.17=NOERROR/AA=0;e.dns.ripn.net@193.232.142.17=NOERROR/AA=0;f.dns.ripn.net@193.232.156.17=NOERROR/AA=0,2477,2026-08-27T14:32:16Z
medusdent.ru,333,04_UNCERTAIN_RECHECK,INSUFFICIENT_AUTHORITATIVE_NXDOMAIN_0_OF_2,cloudflare=SERVFAIL;google=SERVFAIL;quad9=SERVFAIL;opendns=SERVFAIL,ru,a.dns.ripn.net;b.dns.ripn.net;c.tld-servers.ru;d.dns.ripn.net;e.dns.ripn.net;f.dns.ripn.net,a.dns.ripn.net@193.232.128.6=NOERROR/AA=0;b.dns.ripn.net@194.85.252.62=NOERROR/AA=0;c.tld-servers.ru@194.190.122.17=NOERROR/AA=0;d.dns.ripn.net@194.190.124.17=NOERROR/AA=0;e.dns.ripn.net@193.232.142.17=NOERROR/AA=0;f.dns.ripn.net@193.232.156.17=NOERROR/AA=0,2596,2026-08-27T14:32:17Z
medzdravservis.ru,334,04_UNCERTAIN_RECHECK,INSUFFICIENT_AUTHORITATIVE_NXDOMAIN_0_OF_2,cloudflare=SERVFAIL;google=SERVFAIL;quad9=SERVFAIL;opendns=SERVFAIL,ru,a.dns.ripn.net;b.dns.ripn.net;c.tld-servers.ru;d.dns.ripn.net;e.dns.ripn.net;f.dns.ripn.net,a.dns.ripn.net@193.232.128.6=NOERROR/AA=0;b.dns.ripn.net@194.85.252.62=NOERROR/AA=0;c.tld-servers.ru@194.190.122.17=NOERROR/AA=0;d.dns.ripn.net@194.190.124.17=NOERROR/AA=0;e.dns.ripn.net@193.232.142.17=NOERROR/AA=0;f.dns.ripn.net@193.232.156.17=NOERROR/AA=0,2581,2026-08-27T14:32:19Z
megalazertag.ru,335,04_UNCERTAIN_RECHECK,INSUFFICIENT_AUTHORITATIVE_NXDOMAIN_0_OF_2,cloudflare=SERVFAIL;google=SERVFAIL;quad9=SERVFAIL;opendns=SERVFAIL,ru,a.dns.ripn.net;b.dns.ripn.net;c.tld-servers.ru;d.dns.ripn.net;e.dns.ripn.net;f.dns.ripn.net,a.dns.ripn.net@193.232.128.6=NOERROR/AA=0;b.dns.ripn.net@194.85.252.62=NOERROR/AA=0;c.tld-servers.ru@194.190.122.17=NOERROR/AA=0;d.dns.ripn.net@194.190.124.17=NOERROR/AA=0;e.dns.ripn.net@193.232.142.17=NOERROR/AA=0;f.dns.ripn.net@193.232.156.17=NOERROR/AA=0,2678,2026-08-27T14:32:19Z
mekogroup.ru,336,04_UNCERTAIN_RECHECK,INSUFFICIENT_AUTHORITATIVE_NXDOMAIN_0_OF_2,cloudflare=SERVFAIL;google=SERVFAIL;quad9=ERROR;opendns=SERVFAIL,ru,a.dns.ripn.net;b.dns.ripn.net;c.tld-servers.ru;d.dns.ripn.net;e.dns.ripn.net;f.dns.ripn.net,a.dns.ripn.net@193.232.128.6=NOERROR/AA=0;b.dns.ripn.net@194.85.252.62=NOERROR/AA=0;c.tld-servers.ru@194.190.122.17=NOERROR/AA=0;d.dns.ripn.net@194.190.124.17=NOERROR/AA=0;e.dns.ripn.net@193.232.142.17=NOERROR/AA=0;f.dns.ripn.net@193.232.156.17=NOERROR/AA=0,2753,2026-08-27T14:32:22Z
mescheradom.ru,337,04_UNCERTAIN_RECHECK,INSUFFICIENT_AUTHORITATIVE_NXDOMAIN_0_OF_2,cloudflare=SERVFAIL;google=SERVFAIL;quad9=SERVFAIL;opendns=SERVFAIL,ru,a.dns.ripn.net;b.dns.ripn.net;c.tld-servers.ru;d.dns.ripn.net;e.dns.ripn.net;f.dns.ripn.net,a.dns.ripn.net@193.232.128.6=NOERROR/AA=0;b.dns.ripn.net@194.85.252.62=NOERROR/AA=0;c.tld-servers.ru@194.190.122.17=NOERROR/AA=0;d.dns.ripn.net@194.190.124.17=NOERROR/AA=0;e.dns.ripn.net@193.232.142.17=NOERROR/AA=0;f.dns.ripn.net@193.232.156.17=NOERROR/AA=0,2559,2026-08-27T14:32:21Z
mespedkol.ru,338,02_DNS_ALIVE_RESCUED,RECURSIVE_NOERROR_CONSENSUS,cloudflare=NOERROR;google=NOERROR;quad9=NOERROR;opendns=NOERROR,,,,298,2026-08-27T14:32:20Z
mgutu-kld.ru,339,04_UNCERTAIN_RECHECK,INSUFFICIENT_AUTHORITATIVE_NXDOMAIN_0_OF_2,cloudflare=SERVFAIL;google=SERVFAIL;quad9=SERVFAIL;opendns=SERVFAIL,ru,a.dns.ripn.net;b.dns.ripn.net;c.tld-servers.ru;d.dns.ripn.net;e.dns.ripn.net;f.dns.ripn.net,a.dns.ripn.net@193.232.128.6=NOERROR/AA=0;b.dns.ripn.net@194.85.252.62=NOERROR/AA=0;c.tld-servers.ru@194.190.122.17=NOERROR/AA=0;d.dns.ripn.net@194.190.124.17=NOERROR/AA=0;e.dns.ripn.net@193.232.142.17=NOERROR/AA=0;f.dns.ripn.net@193.232.156.17=NOERROR/AA=0,2657,2026-08-27T14:32:22Z
mi-linda.ru,340,04_UNCERTAIN_RECHECK,INSUFFICIENT_AUTHORITATIVE_NXDOMAIN_0_OF_2,cloudflare=SERVFAIL;google=SERVFAIL;quad9=SERVFAIL;opendns=SERVFAIL,ru,a.dns.ripn.net;b.dns.ripn.net;c.tld-servers.ru;d.dns.ripn.net;e.dns.ripn.net;f.dns.ripn.net,a.dns.ripn.net@193.232.128.6=NOERROR/AA=0;b.dns.ripn.net@194.85.252.62=NOERROR/AA=0;c.tld-servers.ru@194.190.122.17=NOERROR/AA=0;d.dns.ripn.net@194.190.124.17=NOERROR/AA=0;e.dns.ripn.net@193.232.142.17=NOERROR/AA=0;f.dns.ripn.net@193.232.156.17=NOERROR/AA=0,2560,2026-08-27T14:32:24Z
migspb98.ru,341,04_UNCERTAIN_RECHECK,INSUFFICIENT_AUTHORITATIVE_NXDOMAIN_0_OF_2,cloudflare=SERVFAIL;google=SERVFAIL;quad9=SERVFAIL;opendns=SERVFAIL,ru,a.dns.ripn.net;b.dns.ripn.net;c.tld-servers.ru;d.dns.ripn.net;e.dns.ripn.net;f.dns.ripn.net,a.dns.ripn.net@193.232.128.6=NOERROR/AA=0;b.dns.ripn.net@194.85.252.62=NOERROR/AA=0;c.tld-servers.ru@194.190.122.17=NOERROR/AA=0;d.dns.ripn.net@194.190.124.17=NOERROR/AA=0;e.dns.ripn.net@193.232.142.17=NOERROR/AA=0;f.dns.ripn.net@193.232.156.17=NOERROR/AA=0,2352,2026-08-27T14:32:24Z
mintur04.ru,342,04_UNCERTAIN_RECHECK,INSUFFICIENT_AUTHORITATIVE_NXDOMAIN_0_OF_2,cloudflare=SERVFAIL;google=SERVFAIL;quad9=SERVFAIL;opendns=SERVFAIL,ru,a.dns.ripn.net;b.dns.ripn.net;c.tld-servers.ru;d.dns.ripn.net;e.dns.ripn.net;f.dns.ripn.net,a.dns.ripn.net@193.232.128.6=NOERROR/AA=0;b.dns.ripn.net@194.85.252.62=NOERROR/AA=0;c.tld-servers.ru@194.190.122.17=NOERROR/AA=0;d.dns.ripn.net@194.190.124.17=NOERROR/AA=0;e.dns.ripn.net@193.232.142.17=NOERROR/AA=0;f.dns.ripn.net@193.232.156.17=NOERROR/AA=0,2876,2026-08-27T14:32:25Z
minusa-school12.ru,343,04_UNCERTAIN_RECHECK,INSUFFICIENT_AUTHORITATIVE_NXDOMAIN_0_OF_2,cloudflare=SERVFAIL;google=SERVFAIL;quad9=SERVFAIL;opendns=SERVFAIL,ru,a.dns.ripn.net;b.dns.ripn.net;c.tld-servers.ru;d.dns.ripn.net;e.dns.ripn.net;f.dns.ripn.net,a.dns.ripn.net@193.232.128.6=NOERROR/AA=0;b.dns.ripn.net@194.85.252.62=NOERROR/AA=0;c.tld-servers.ru@194.190.122.17=NOERROR/AA=0;d.dns.ripn.net@194.190.124.17=NOERROR/AA=0;e.dns.ripn.net@193.232.142.17=NOERROR/AA=0;f.dns.ripn.net@193.232.156.17=NOERROR/AA=0,29467,2026-08-27T14:32:53Z
mirbuterbrodov.ru,344,04_UNCERTAIN_RECHECK,INSUFFICIENT_AUTHORITATIVE_NXDOMAIN_0_OF_2,cloudflare=SERVFAIL;google=SERVFAIL;quad9=SERVFAIL;opendns=SERVFAIL,ru,a.dns.ripn.net;b.dns.ripn.net;c.tld-servers.ru;d.dns.ripn.net;e.dns.ripn.net;f.dns.ripn.net,a.dns.ripn.net@193.232.128.6=NOERROR/AA=0;b.dns.ripn.net@194.85.252.62=NOERROR/AA=0;c.tld-servers.ru@194.190.122.17=NOERROR/AA=0;d.dns.ripn.net@194.190.124.17=NOERROR/AA=0;e.dns.ripn.net@193.232.142.17=NOERROR/AA=0;f.dns.ripn.net@193.232.156.17=NOERROR/AA=0,2997,2026-08-27T14:32:27Z
