hostname,input_index,final_class,dns_class,dns_a,dns_aaaa,dns_cname,resolver_summary,https_status,https_effective_url,https_error,http_status,http_effective_url,http_error,web_reason,elapsed_ms,timestamp_utc
origin-style.ru,408,04_STILL_UNCERTAIN,DNS_UNCERTAIN,,,,cloudflare=MIXED;google=MIXED;quad9=MIXED,,,,,,,,690,2026-08-27T11:30:06Z
orskedu.ru,409,04_STILL_UNCERTAIN,DNS_UNCERTAIN,,,,cloudflare=MIXED;google=MIXED;quad9=MIXED,,,,,,,,908,2026-08-27T11:30:07Z
ostankino24.ru,410,04_STILL_UNCERTAIN,DNS_UNCERTAIN,,,,cloudflare=MIXED;google=MIXED;quad9=MIXED,,,,,,,,961,2026-08-27T11:30:07Z
ostrovskoe.ru,411,04_STILL_UNCERTAIN,DNS_UNCERTAIN,,,,cloudflare=MIXED;google=MIXED;quad9=MIXED,,,,,,,,16482,2026-08-27T11:30:24Z
otvet-est.ru,412,04_STILL_UNCERTAIN,DNS_UNCERTAIN,,,,cloudflare=MIXED;google=MIXED;quad9=MIXED,,,,,,,,1796,2026-08-27T11:30:09Z
pagandom.ru,413,04_STILL_UNCERTAIN,DNS_UNCERTAIN,,,,cloudflare=MIXED;google=MIXED;quad9=MIXED,,,,,,,,11664,2026-08-27T11:30:21Z
palto-avrora.ru,414,04_STILL_UNCERTAIN,DNS_UNCERTAIN,,,,cloudflare=MIXED;google=MIXED;quad9=MIXED,,,,,,,,1723,2026-08-27T11:30:12Z
paraworld.ru,415,04_STILL_UNCERTAIN,DNS_UNCERTAIN,,,,cloudflare=NODATA;google=NODATA;quad9=NODATA,,,,,,,,12946,2026-08-27T11:30:24Z
parts-shop.ru,416,04_STILL_UNCERTAIN,DNS_UNCERTAIN,,,,cloudflare=MIXED;google=MIXED;quad9=MIXED,,,,,,,,4177,2026-08-27T11:30:25Z
partyhair.ru,417,04_STILL_UNCERTAIN,DNS_UNCERTAIN,,,,cloudflare=NODATA;google=NODATA;quad9=NODATA,,,,,,,,1899,2026-08-27T11:30:25Z
pchelovodka.ru,418,04_STILL_UNCERTAIN,DNS_UNCERTAIN,,,,cloudflare=MIXED;google=MIXED;quad9=MIXED,,,,,,,,702,2026-08-27T11:30:25Z
peredkiadm.ru,419,04_STILL_UNCERTAIN,DNS_UNCERTAIN,,,,cloudflare=MIXED;google=MIXED;quad9=MIXED,,,,,,,,899,2026-08-27T11:30:26Z
pererabottle.ru,420,04_STILL_UNCERTAIN,DNS_UNCERTAIN,,,,cloudflare=MIXED;google=MIXED;quad9=MIXED,,,,,,,,927,2026-08-27T11:30:26Z
permeparhia.ru,421,04_STILL_UNCERTAIN,DNS_UNCERTAIN,,,,cloudflare=MIXED;google=MIXED;quad9=MIXED,,,,,,,,1020,2026-08-27T11:30:26Z
peter-s.ru,422,04_STILL_UNCERTAIN,DNS_UNCERTAIN,,,,cloudflare=MIXED;google=MIXED;quad9=MIXED,,,,,,,,1445,2026-08-27T11:30:27Z
pishempodcast.ru,423,04_STILL_UNCERTAIN,DNS_UNCERTAIN,,,,cloudflare=MIXED;google=MIXED;quad9=MIXED,,,,,,,,1644,2026-08-27T11:30:28Z
pitbuh.ru,424,04_STILL_UNCERTAIN,DNS_UNCERTAIN,,,,cloudflare=MIXED;google=MIXED;quad9=MIXED,,,,,,,,6329,2026-08-27T11:30:33Z
pl4y.ru,425,04_STILL_UNCERTAIN,DNS_UNCERTAIN,,,,cloudflare=MIXED;google=MIXED;quad9=MIXED,,,,,,,,1521,2026-08-27T11:30:29Z
planetazdorovya-kya.ru,426,04_STILL_UNCERTAIN,DNS_UNCERTAIN,,,,cloudflare=MIXED;google=MIXED;quad9=MIXED,,,,,,,,6390,2026-08-27T11:30:34Z
podcastrus.ru,427,04_STILL_UNCERTAIN,DNS_UNCERTAIN,,,,cloudflare=MIXED;google=MIXED;quad9=MIXED,,,,,,,,868,2026-08-27T11:30:30Z
policl3.ru,428,04_STILL_UNCERTAIN,DNS_UNCERTAIN,,,,cloudflare=MIXED;google=MIXED;quad9=MIXED,,,,,,,,3225,2026-08-27T11:30:33Z
politictoday.ru,429,04_STILL_UNCERTAIN,DNS_UNCERTAIN,,,,cloudflare=MIXED;google=MIXED;quad9=MIXED,,,,,,,,2042,2026-08-27T11:30:34Z
positive-adopt.ru,430,04_STILL_UNCERTAIN,DNS_UNCERTAIN,,,,cloudflare=MIXED;google=MIXED;quad9=MIXED,,,,,,,,998,2026-08-27T11:30:34Z
postoronnye.ru,431,04_STILL_UNCERTAIN,DNS_UNCERTAIN,,,,cloudflare=MIXED;google=MIXED;quad9=MIXED,,,,,,,,1006,2026-08-27T11:30:34Z
pozdrav-best.ru,432,04_STILL_UNCERTAIN,DNS_UNCERTAIN,,,,cloudflare=MIXED;google=MIXED;quad9=MIXED,,,,,,,,892,2026-08-27T11:30:35Z
present-on-don.ru,433,04_STILL_UNCERTAIN,DNS_UNCERTAIN,,,,cloudflare=MIXED;google=MIXED;quad9=MIXED,,,,,,,,1193,2026-08-27T11:30:35Z
prigorodspb.ru,434,04_STILL_UNCERTAIN,DNS_UNCERTAIN,,,,cloudflare=MIXED;google=MIXED;quad9=MIXED,,,,,,,,25283,2026-08-27T11:30:59Z
pro-imbir.ru,435,04_STILL_UNCERTAIN,DNS_UNCERTAIN,,,,cloudflare=MIXED;google=MIXED;quad9=MIXED,,,,,,,,1602,2026-08-27T11:30:36Z
pro-mnogoe.ru,436,03_NXDOMAIN_DEAD,NXDOMAIN_CONFIRMED,,,,cloudflare=NXDOMAIN;google=NXDOMAIN;quad9=NXDOMAIN,,,,,,,,658,2026-08-27T11:30:35Z
pro-wcc-school.ru,437,04_STILL_UNCERTAIN,DNS_UNCERTAIN,,,,cloudflare=NODATA;google=NODATA;quad9=NODATA,,,,,,,,2121,2026-08-27T11:30:37Z
pro.janeza.ru,438,04_STILL_UNCERTAIN,DNS_UNCERTAIN,,,,cloudflare=MIXED;google=MIXED;quad9=MIXED,,,,,,,,1755,2026-08-27T11:30:37Z
producerbocharova.ru,439,04_STILL_UNCERTAIN,DNS_UNCERTAIN,,,,cloudflare=MIXED;google=MIXED;quad9=MIXED,,,,,,,,1366,2026-08-27T11:30:37Z
